keyword,tanggal,username,name,tweet,total retweet,total like,url ID,location,source
omnibuslaw,2020-10-11 02:58:09,alham1970,alham nugraha,UU Omnibuslaw itu Gaya Rezim Orde Baru Yang Di Legalkan oleh PresidenSontoloyo p dapse Jokowi Minta Gubernur Dukung UU Ciptaker Taufik Rendusara Mau Dirikan Rezim Otoriter Baru IDTODAY NEWS,3,2,https://twitter.com/twitter/statuses/1315124500703272961,"bogor, indonesia",Twitter for Android
omnibuslaw,2020-10-11 02:58:03,herryno10,herryno_10,Polisi tangkap seorang perempuan yang diduga mengunggah konten hoaks terkait isi UU Cipta Kerja melalui akun media sosialnya Motif pelaku mengunggah konten hoaks yaitu karena pelaku kecewa dengan pengesahan UU Cipta Kerja LNA iNews iNewsSore UUCiptaKerja OmnibusLaw,3,1,https://twitter.com/twitter/statuses/1315124473821974528,,Twitter for Android
omnibuslaw,2020-10-11 02:57:53,SoniMsi07,Bahamas,Selesai sdh acara Omnibuslaw amp semua akan berlalu begitu aja,50,346,https://twitter.com/twitter/statuses/1315124434236321794,,Twitter for Android
omnibuslaw,2020-10-11 02:57:51,net11zen,akun ava korea,2020 Covid Omnibuslaw Tangi broo iki 2013 dino minggu wayahe ngumbah sepatu,0,0,https://twitter.com/twitter/statuses/1315124424987734016,,Twitter for Android
omnibuslaw,2020-10-11 02:57:42,Liahmd_,Lia,Sebuah Ceritafoto tentang aksi penolakan UU Cipta Kerja Omnibuslaw pada kamis 8 10 20 di Harmoni Jakarta Pusat berujung ricuh Bentrokan antara polisi dan massa aksi tidak terhindarkan sejak sore hingga malam hari Sebuah Utas,625,1442,https://twitter.com/twitter/statuses/1315124386702131201,+62,Twitter for Android
omnibuslaw,2020-10-11 02:57:31,madewira_13,Wira Taruna,44 persen tubuh kepulauan Indonesia sudah dikuasai pertambangan darat hingga perairan Sekarang diselipkan 2 pasal baru di OmnibusLaw pasal 128A yg banting diskon royalti 0 utk pengusaha batubara dan pasal 47A bonus pemanfaatan ruang laut jg utk batubara MosiTidakPercaya,217,360,https://twitter.com/twitter/statuses/1315124340896133125,,Twitter for iPhone
omnibuslaw,2020-10-11 02:57:27,radennys,Raden Denny S,Sebuah Ceritafoto tentang aksi penolakan UU Cipta Kerja Omnibuslaw pada kamis 8 10 20 di Harmoni Jakarta Pusat berujung ricuh Bentrokan antara polisi dan massa aksi tidak terhindarkan sejak sore hingga malam hari Sebuah Utas,625,1442,https://twitter.com/twitter/statuses/1315124323305234433,Semi Mekkah,Twitter for Android
omnibuslaw,2020-10-11 02:57:08,hausberitaexo,kyungsoo 🌚-_-,Oke lah pak presiden bilang publik banyak termakan hoax UU Omnibuslaw Dulu juga kami kena hoax dari janji bapak,6,20,https://twitter.com/twitter/statuses/1315124243185639424,,Twitter for Android
omnibuslaw,2020-10-11 02:56:58,lukmanulharun2,vox populi vox dei!,Sebuah Ceritafoto tentang aksi penolakan UU Cipta Kerja Omnibuslaw pada kamis 8 10 20 di Harmoni Jakarta Pusat berujung ricuh Bentrokan antara polisi dan massa aksi tidak terhindarkan sejak sore hingga malam hari Sebuah Utas,625,1442,https://twitter.com/twitter/statuses/1315124204711280640,"Cirebon, West Java",Twitter for Android
omnibuslaw,2020-10-11 02:56:52,Arnasalili,Pejuang Allah,bedakan ya hoax dan fakta OmnibusLaw,1,6,https://twitter.com/twitter/statuses/1315124179709038594,"Kota Makassar, Sulawesi Selata",Twitter for Android
